,,class5,,,class4,,,class3,,,class2,,,class1,,
freq_low,freq_high,peak,qpeak,avg,peak,qpeak,avg,peak,qpeak,avg,peak,qpeak,avg,peak,qpeak,avg
0.15,0.3,46,33,26,56,43,36,66,53,46,76,63,56,86,73,66
0.53,1.8,40,27,20,48,35,28,56,43,36,64,51,44,72,59,52
5.9,6.2,40,27,20,46,33,26,52,39,32,58,45,38,64,51,44
76,108,38,25,18,44,31,24,50,37,30,56,43,36,62,49,42
41,88,28,-,18,34,-,24,40,-,30,46,-,36,52,-,42
174,230,32,-,22,38,-,28,44,-,34,50,-,40,56,-,46
171,245,26,-,16,32,-,22,38,-,28,44,-,34,50,-,40
468,944,41,-,31,47,-,37,53,-,43,59,-,49,65,-,55
470,770,45,-,35,51,-,41,57,-,47,63,-,53,69,-,59
1447,1494,28,-,18,34,-,24,40,-,30,46,-,36,52,-,42
2320,2345,34,-,24,40,-,30,46,-,36,52,-,42,58,-,48
26,28,40,27,20,46,33,26,52,39,32,58,45,38,64,51,44
30,54,40,27,20,46,33,26,52,39,32,58,45,38,64,51,44
68,87,35,22,15,41,28,21,47,34,27,53,40,33,59,46,39
142,175,35,22,15,41,28,21,47,34,27,53,40,33,59,46,39
380,512,38,25,18,44,31,24,50,37,30,56,43,36,62,49,42
300,330,32,-,18,38,-,24,44,-,30,50,-,36,56,-,42
420,450,32,-,18,38,-,24,44,-,30,50,-,36,56,-,42
820,960,44,31,24,50,37,30,56,43,36,62,49,42,68,55,48
860,895,44,-,24,50,-,30,56,-,36,62,-,42,68,-,48
925,960,44,-,24,50,-,30,56,-,36,62,-,42,68,-,48
1567,1583,-,-,10,-,-,16,-,-,22,-,-,28,-,-,34
1591,1616,-,-,10,-,-,16,-,-,22,-,-,28,-,-,34
1803,1882,44,-,24,50,-,30,56,-,36,62,-,42,68,-,48
1850,1990,44,-,24,50,-,30,56,-,36,62,-,42,68,-,48
1900,1992,44,-,24,50,-,30,56,-,36,62,-,42,68,-,48
2010,2025,44,-,24,50,-,30,56,-,36,62,-,42,68,-,48
2180,2172,44,-,24,50,-,30,56,-,36,62,-,42,68,-,48
2400,2500,44,-,24,50,-,30,56,-,36,62,-,42,68,-,48
